created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 19 05:58:14 +0000 2023;1726117660847731132;"Anies Baswedan-Muhaimin Iskandar (Cak Imin) mendapat nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka mendapat nomor urut 2, Ganjar Pranowo-Mahfud Md mendapat nomor urut 3.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1563767414340612098;1726117655080476919;adaapaaja21;https://twitter.com/adaapaaja21/status/1726117660847731132
Sun Nov 19 05:56:39 +0000 2023;1726117261621219719;"Usai berjabat tangan dengan Anies dan Muhaimin, Prabowo menyempatkan diri untuk memberikan hormat pada Ketum PDIP Megawati yang duduk di kursinya dengan menakupkan kedua tangan di dada.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1563767414340612098;1726117239085261236;adaapaaja21;https://twitter.com/adaapaaja21/status/1726117261621219719
Sun Nov 19 05:56:37 +0000 2023;1726117254394437985;"Teriakan 'Merdeka!' dari Menteri Pertahanan (Menhan) itu mengakhiri pidato yang dilanjutkan dengan mendapat sambutan dari paslon nomor urut 01 Anies Baswedan dan Muhaimin Iskandar.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1563767414340612098;1726117239085261236;adaapaaja21;https://twitter.com/adaapaaja21/status/1726117254394437985
Sun Nov 19 05:54:07 +0000 2023;1726116622686118342;"@xxxxx54n @MichioChan1 @Kurakirikanan95 @Ronin_roninan @Odlumomo @HiHi69877572 @Ombakbirulaut @pandekaharimau @sibatucadas @DSetyopribadi @BadanBahasa Maksudmu wan Muhaimin itu anak intelektual atau sea?";0;0;0;0;in;1704853752795324416;1703779885108605202;bintanglaut2023;https://twitter.com/bintanglaut2023/status/1726116622686118342
Sun Nov 19 05:52:31 +0000 2023;1726116219689062503;"80 persen Suara Muhammadiyah ditargetkan untuk Amin   Ini maksudnya Pak Amien Rais, apa AMIN Anies Muhaimin ya? https://t.co/hZjRCI6JxU";0;1;0;1;in;1304372603595837440;1726116219689062503;bukupembaharu;https://twitter.com/bukupembaharu/status/1726116219689062503
Sun Nov 19 05:50:54 +0000 2023;1726115812413694402;"@twtsecretsmy Entahlah. Kena toleransi la suami isteri. This is not 1990 anymore. Gaji 5k pun xcukup nak tanggung totally semua. Kalau rasa xcukup duit, tak perlu la pilih swasta etc. Isteri tak wajib contribute tp ihsan isteri yg membantu suami inshallah membawa keluarga bahagia";0;0;0;0;in;369007948;1726104252828008832;SyahirMuhaimin;https://twitter.com/SyahirMuhaimin/status/1726115812413694402
Sun Nov 19 05:50:52 +0000 2023;1726115806684328293;"@HmfaqihA Antusuas TKI dukung Ganjar-Mahfood Cukup Besar  Antusias TKI dukung Prabowo-Gibran Lumayan Besar  Antudias TKI dukung Anies-Muhaimin Sangat Bessr. https://t.co/9aUVZ7fTcK";0;0;0;0;in;1153271257837686784;1725894297642578427;AlianisBgd;https://twitter.com/AlianisBgd/status/1726115806684328293
Sun Nov 19 05:43:57 +0000 2023;1726114066660499921;"TPN Ganjar-Mahfud Dapat Tekanan dan Intimidasi, Sekjen PDIP Jalin Komunikasi ke Tim Anis-Muhaimin  https://t.co/JhYx1xT3GM";0;0;0;1;in;226039658;1726114066660499921;tribunjambiku;https://twitter.com/tribunjambiku/status/1726114066660499921
Sun Nov 19 05:41:36 +0000 2023;1726113474781307228;"@DrEvaChaniago Yang berakal sehat insya Allah ANIES-MUHAIMIN,,,";0;0;0;0;in;1613083576572207110;1725928147093438832;ArtonArton6;https://twitter.com/ArtonArton6/status/1726113474781307228
Sun Nov 19 05:41:05 +0000 2023;1726113342908158348;"@BosPurwa Jauh banget kelas nya ama Muhaimin... 😁";0;0;0;0;in;2950041938;1725516498419195919;icalryad;https://twitter.com/icalryad/status/1726113342908158348
Sun Nov 19 05:37:37 +0000 2023;1726112469528297867;"@baiknlurus @PartaiSocmed PENYUSUP &amp  PERUSAK NU YA MACAM KEK GINI...... EMANG LU LEBIH HEBAT DARI KH.SAID AQIL  &amp  GUS MUHAIMIN ISKANDAR.......??";0;0;0;1;in;1681652556425207809;1726070273592693219;PraseYulia46029;https://twitter.com/PraseYulia46029/status/1726112469528297867
Sun Nov 19 05:37:23 +0000 2023;1726112413098148270;"@ejtpd5 NIE SUDAH TURUN GUNUNG BUAT KAMPANYE ANIES DAN MUHAIMIN https://t.co/vZfHj4OyND";0;0;0;0;in;1714433048278863872;1725879977420394601;Parenrengi1927;https://twitter.com/Parenrengi1927/status/1726112413098148270
Sun Nov 19 05:35:52 +0000 2023;1726112030804083141;"Ijtima Ulama dan Tokoh Nasional merekomendasikan pasangan nomor urut 1, Anies Baswedan dan Muhaimin Iskandar (AMIN), dalam Pilpres 2024.  Berikut alasannya: https://t.co/29mwkSmGSL  #AniesMuhaimin2024 #aniesbaswedan https://t.co/9QOqpR7Nab";0;0;0;0;in;1471429821548752898;1726112030804083141;caritaucom;https://twitter.com/caritaucom/status/1726112030804083141
Sun Nov 19 05:31:04 +0000 2023;1726110825235235119;"@ShamsiAli2 Wow Usut";0;0;0;0;in;2204929734;1725951907384930420;amin_muhaimin1;https://twitter.com/amin_muhaimin1/status/1726110825235235119
Sun Nov 19 05:21:09 +0000 2023;1726108326113734960;"Jeng Yah. 🌹";0;0;0;0;in;278553750;1726108326113734960;min_muhaimin;https://twitter.com/min_muhaimin/status/1726108326113734960
Sun Nov 19 05:20:48 +0000 2023;1726108239727894723;"@opposite6892 tangkap..";0;0;0;0;in;2204929734;1725903781723054347;amin_muhaimin1;https://twitter.com/amin_muhaimin1/status/1726108239727894723
Sun Nov 19 05:20:24 +0000 2023;1726108137818870250;"Usai berjabat tangan dengan Anies dan Muhaimin, Prabowo menyempatkan diri untuk memberikan hormat pada Ketum PDIP Megawati yang duduk di kursinya dengan menakupkan kedua tangan di dada.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1598275455278551041;1726108111566692531;Muhamma48288841;https://twitter.com/Muhamma48288841/status/1726108137818870250
Sun Nov 19 05:20:21 +0000 2023;1726108128251703444;"Teriakan 'Merdeka!' dari Menteri Pertahanan (Menhan) itu mengakhiri pidato yang dilanjutkan dengan mendapat sambutan dari paslon nomor urut 01 Anies Baswedan dan Muhaimin Iskandar.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1598275455278551041;1726108111566692531;Muhamma48288841;https://twitter.com/Muhamma48288841/status/1726108128251703444
Sun Nov 19 05:16:45 +0000 2023;1726107219958386765;"Anies Baswedan-Muhaimin Iskandar (Cak Imin) mendapat nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka mendapat nomor urut 2, Ganjar Pranowo-Mahfud Md mendapat nomor urut 3.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1598275455278551041;1726107214279295062;Muhamma48288841;https://twitter.com/Muhamma48288841/status/1726107219958386765
Sun Nov 19 05:16:41 +0000 2023;1726107204124819639;"@Mdy_Asmara1701 @cakimiNOW Waspadalah!!! Ex fpi,hti bersama anis-muhaimin";0;0;0;0;in;1353738857502580736;1726082669140902349;Sariden10687985;https://twitter.com/Sariden10687985/status/1726107204124819639
Sun Nov 19 04:07:56 +0000 2023;1726089900758651183;""Tolong kabarkan ke semua saudara2 kalian semua bahwa PKB sudah punya capres dan cawapresnya sendiri   yaitu Pak Anies Baswedan dan Gus Muhaimin Iskandar  disingkat jadi AMIN."  "Perubahan"  "AMIN"  #OrangDunguAntiPerubahan  #OrangDunguAntiPerubahan https://t.co/gkxTN0Wqy7";0;0;4;4;in;1605747132014637061;1726089900758651183;dancersejati07;https://twitter.com/dancersejati07/status/1726089900758651183
Sun Nov 19 03:59:04 +0000 2023;1726087669309178329;"@Audrey_Earnhart @Salim_Iskandar Mmng lah tak kisah. Dah sedap layan, mana nak kisah. Janji ada pelincir";0;1;0;0;in;465408706;1725771114805412294;MeanHasnan;https://twitter.com/MeanHasnan/status/1726087669309178329
Sun Nov 19 03:54:23 +0000 2023;1726086490512588881;"@CikkiahC @Salim_Iskandar Gay itu mulia? Meh sini jumpa kita borak pasal mulia";0;0;0;0;in;465408706;1725771114805412294;MeanHasnan;https://twitter.com/MeanHasnan/status/1726086490512588881
Sun Nov 19 03:53:10 +0000 2023;1726086186412949834;"@SuparmanAbdAziz @Salim_Iskandar Kau layan je palestine. Pilih je kau nak layan bontot atau layan palestine. Ni semua isu nak langgar. Terasa sangat kenapa entah hahahaha";0;0;0;0;in;465408706;1725771114805412294;MeanHasnan;https://twitter.com/MeanHasnan/status/1726086186412949834
Sun Nov 19 03:51:22 +0000 2023;1726085734560604462;"@hasyimmah tambahan 3 skenario lain: 7. anies-muhaimin gugur, tidak beri dukungan ke paslon lain 8. prabowo-gibran gugur, tidak beri dukungan ke paslon lain 9. ganjar-mahfud gugur, tidak beri dukungan ke paslon lain  dan 1 skenario lainnya: 10. salah satu paslon langsung menang 1 putaran";0;0;0;0;in;1547080911816167425;1725819357773906053;AriArini7;https://twitter.com/AriArini7/status/1726085734560604462
Sun Nov 19 03:45:36 +0000 2023;1726084281880261053;"Lengkap Isi Pidato Anies Baswedan di Ijtima Ulama, Anies-Muhaimin Sampaikan Keadilan untuk Semua  #AniesMuhaimin #IjtimaUlama #Pilpres2024 #caprescawapres  https://t.co/QVM5WjTfD1 lewat @tribunkaltim";0;0;0;0;in;103551225;1726084281880261053;tribunkaltim;https://twitter.com/tribunkaltim/status/1726084281880261053
Sun Nov 19 03:47:23 +0000 2023;1726084728615555276;"@farhanyahaya2 @akbarazman Allahu soalan pun";0;0;0;6;in;465408706;1725783163778318658;MeanHasnan;https://twitter.com/MeanHasnan/status/1726084728615555276
Sun Nov 19 03:50:21 +0000 2023;1726085476690640926;"Elektabilitas Capres Anies Melejit ke Posisi Kedua. - Prabowo - Gibran : 37,5 % - Anies - Muhaimin : 32,7 % - Ganjar - Mahfud :   28,3 %    https://t.co/C1dF4G4OTd";0;0;9;16;in;46647466;1726085476690640926;Bambangelf;https://twitter.com/Bambangelf/status/1726085476690640926
Sun Nov 19 03:41:17 +0000 2023;1726083195639382502;"@tetemomo123 @islah_bahrawi Mau Ganjar Mahfud atau Anies Muhaimin ga masalah,yg penting jangan Prabowo";0;0;0;0;in;836944213719691264;1726030383643533451;Anam79606134;https://twitter.com/Anam79606134/status/1726083195639382502
Sun Nov 19 03:39:12 +0000 2023;1726082669140902349;"Alhamdulillah, Ijtima Ulama mendukung AMIN Anies - Muhaimin No 1   Insya Allah amanah dari para Ulama ini akan semakin memperbesar gelombang perubahan di seluruh Indonesia ~ @cakimiNOW   #AMINAjaDulu #AniesMuhaimin2024 #SATUkanIndonesia https://t.co/Lso1EqPk4n";2;9;100;289;in;1334853481019056128;1726082669140902349;Mdy_Asmara1701;https://twitter.com/Mdy_Asmara1701/status/1726082669140902349
Sun Nov 19 03:37:51 +0000 2023;1726082332178915437;"Bismillah  Perubahan Indonesia Menjadi maju, Adil dan Makmur #Am1n  #PKB #muhaimin https://t.co/S0m44Cm8XJ";0;0;0;0;in;1617332048926244864;1726082332178915437;DUDI_BumbuMelo;https://twitter.com/DUDI_BumbuMelo/status/1726082332178915437
Sun Nov 19 03:34:35 +0000 2023;1726081507260014885;"@snskuyy_ @Imade_kun @PartaiSocmed Milih presiden kok cuma karena gemoy.klo gitu suruh cipung aja jdi presiden";0;0;0;0;in;1322060773770719232;1725718613754368145;Muhamma88778765;https://twitter.com/Muhamma88778765/status/1726081507260014885
Sun Nov 19 03:34:04 +0000 2023;1726081380705313129;"@baiknlurus @champoet @PartaiSocmed Ya pilih Gus Muhaimin";0;0;0;2;in;976487995300708354;1726070273592693219;zahidahmad85;https://twitter.com/zahidahmad85/status/1726081380705313129
Sun Nov 19 03:33:03 +0000 2023;1726081121295974735;"Kejap pakai iPad (Mac keyboard layout),  pastu kejap pakai laptop (Windows keyboard layout),   pastu berbelit2 jari jemari nak cari Alt, Option, Ctrl, Cmd.";0;0;0;0;in;359922148;1726081121295974735;muhaimin_amin;https://twitter.com/muhaimin_amin/status/1726081121295974735
Sun Nov 19 03:29:03 +0000 2023;1726080116084887708;"Gus Kautsar Imbau Para Kiai Dukung Muhaimin Iskandar @cakimiNOW  https://t.co/v6t1r5SDlQ via @YouTube #AniesMuhaimin2024";0;0;0;0;in;57553863;1726080116084887708;NgartoF;https://twitter.com/NgartoF/status/1726080116084887708
Sun Nov 19 03:25:06 +0000 2023;1726079120793301388;"Lebih lanjut, kata kunci "transportasi" dlm visi-misi masing-masing Paslon jumlahnya beda2.  Anies-Muhaimin: 30 kata kunci Prabowo-Gibran: 8 kata kunci Ganjar-Mahfud: 7 kata kunci.  Di antara kata kunci tersebut terdapat bbrp hal menarik terkait transportasi umum https://t.co/w39hfDKgfj";0;0;2;3;in;824914361181278209;1725861923588366608;kabarpenumpang;https://twitter.com/kabarpenumpang/status/1726079120793301388
Sun Nov 19 03:21:46 +0000 2023;1726078283979362635;"@kompascom gak usah bawa² AMIN (Anies Muhaimin) berjuang masing² aja";0;0;0;0;in;303126089;1725813874279211015;Ukimarz;https://twitter.com/Ukimarz/status/1726078283979362635
Sun Nov 19 03:13:23 +0000 2023;1726076174248640811;"@kurawa Gila karena jilatnya sampai ke langit ke 7 kayak Qodari yg bilang gibran intelektual melebihi Mahfud dan Muhaimin.";0;0;0;0;in;196140054;1725730392752419052;dtono88;https://twitter.com/dtono88/status/1726076174248640811
Sun Nov 19 03:12:23 +0000 2023;1726075923223716278;""Pilih 1 satu putaran. Pilih 1 satu putaran. Pilih AMIN Anies Muhaimin"  #OrangDunguAntiPerubahan  #OrangDunguAntiPerubahan https://t.co/3sMXwPV9qR";0;0;3;3;in;1605747132014637061;1726075923223716278;dancersejati07;https://twitter.com/dancersejati07/status/1726075923223716278
Sun Nov 19 03:06:20 +0000 2023;1726074401177956685;"@MandiriBerkah99 @EfendiYanto @PartaiSocmed Nasdem n PKS ini yang dilema mas. PKB keknya bisa dipastikan AMIN ga lolos, dia ke GP. Soalnya tadinya kan Muhaimin sendiri kalo out dari PS karna malah mo gaet Gibran. Sempet mikir ke GP, tapi kan Dewan Syuronya udah ditag ama Anies n Nasdem. Tapi kuatnya Nasdem ke PS sih";0;1;0;0;in;2862109627;1725906547291861113;FelixSGL1;https://twitter.com/FelixSGL1/status/1726074401177956685
Sun Nov 19 02:59:32 +0000 2023;1726072687657877948;"MUSNI UMAR: ANIES - MUHAIMIN ATAU AMIN SANGAT LAYAK KAMPANYEKAN PERUBAHAN...";0;0;0;0;in;1429944281574219781;1726072687657877948;safrianto_arief;https://twitter.com/safrianto_arief/status/1726072687657877948
Sun Nov 19 02:50:58 +0000 2023;1726070531924144526;"KPM sila tindakan tatatertib";0;0;0;0;in;553639855;1726070531924144526;muhaiminmktr;https://twitter.com/muhaiminmktr/status/1726070531924144526
